Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2023 (FYTD),2023 (FYTD),OCT,OCT,196,all,all,Accompanied Minors,Title 42
2020,2020,SEP,SEP,3894,all,all,FMUA,all
2021,2021,SEP,SEP,64388,all,all,FMUA,all
2022,2022,SEP,SEP,54079,all,all,FMUA,all
2020,2020,AUG,AUG,2715,all,all,FMUA,all
2021,2021,AUG,AUG,86631,all,all,FMUA,all
2022,2022,AUG,AUG,51773,all,all,FMUA,all
2020,2020,JUL,JUL,2050,all,all,FMUA,all
2021,2021,JUL,JUL,83499,all,all,FMUA,all
2022,2022,JUL,JUL,52052,all,all,FMUA,all
2020,2020,JUN,JUN,1679,all,all,FMUA,all
2021,2021,JUN,JUN,55896,all,all,FMUA,all
2022,2022,JUN,JUN,51804,all,all,FMUA,all
2020,2020,MAY,MAY,1052,all,all,FMUA,all
2021,2021,MAY,MAY,44747,all,all,FMUA,all
2022,2022,MAY,MAY,59556,all,all,FMUA,all
2020,2020,APR,APR,738,all,all,FMUA,all
2021,2021,APR,APR,50094,all,all,FMUA,all
2022,2022,APR,APR,55134,all,all,FMUA,all
2020,2020,MAR,MAR,4635,all,all,FMUA,all
2021,2021,MAR,MAR,54132,all,all,FMUA,all
2022,2022,MAR,MAR,37917,all,all,FMUA,all
2020,2020,FEB,FEB,7117,all,all,FMUA,all
2021,2021,FEB,FEB,19590,all,all,FMUA,all
2022,2022,FEB,FEB,26722,all,all,FMUA,all
2020,2020,JAN,JAN,8198,all,all,FMUA,all
2021,2021,JAN,JAN,7296,all,all,FMUA,all
2022,2022,JAN,JAN,32003,all,all,FMUA,all
2020,2020,DEC,DEC,12053,all,all,FMUA,all
2021,2021,DEC,DEC,4406,all,all,FMUA,all
2022,2022,DEC,DEC,51747,all,all,FMUA,all
2023 (FYTD),2023 (FYTD),DEC,DEC,77088,all,all,FMUA,all
2020,2020,NOV,NOV,13144,all,all,FMUA,all
2021,2021,NOV,NOV,4302,all,all,FMUA,all
2022,2022,NOV,NOV,45061,all,all,FMUA,all
2023 (FYTD),2023 (FYTD),NOV,NOV,63316,all,all,FMUA,all
2020,2020,OCT,OCT,13719,all,all,FMUA,all
2021,2021,OCT,OCT,4747,all,all,FMUA,all
2022,2022,OCT,OCT,42798,all,all,FMUA,all
2023 (FYTD),2023 (FYTD),OCT,OCT,59807,all,all,FMUA,all
2020,2020,SEP,SEP,899,all,all,FMUA,Title 8
2021,2021,SEP,SEP,46789,all,all,FMUA,Title 8
2022,2022,SEP,SEP,48365,all,all,FMUA,Title 8
2020,2020,AUG,AUG,528,all,all,FMUA,Title 8
2021,2021,AUG,AUG,69561,all,all,FMUA,Title 8
2022,2022,AUG,AUG,45251,all,all,FMUA,Title 8
2020,2020,JUL,JUL,487,all,all,FMUA,Title 8
2021,2021,JUL,JUL,73389,all,all,FMUA,Title 8
2022,2022,JUL,JUL,42134,all,all,FMUA,Title 8
2020,2020,JUN,JUN,372,all,all,FMUA,Title 8
2021,2021,JUN,JUN,47868,all,all,FMUA,Title 8
2022,2022,JUN,JUN,37538,all,all,FMUA,Title 8
2020,2020,MAY,MAY,181,all,all,FMUA,Title 8
2021,2021,MAY,MAY,35427,all,all,FMUA,Title 8
2022,2022,MAY,MAY,48866,all,all,FMUA,Title 8
2020,2020,APR,APR,108,all,all,FMUA,Title 8
2021,2021,APR,APR,32164,all,all,FMUA,Title 8
2022,2022,APR,APR,47542,all,all,FMUA,Title 8
2020,2020,MAR,MAR,4138,all,all,FMUA,Title 8
2021,2021,MAR,MAR,32560,all,all,FMUA,Title 8
2022,2022,MAR,MAR,29990,all,all,FMUA,Title 8
2020,2020,FEB,FEB,7117,all,all,FMUA,Title 8
