Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2022 (FYTD),2022 (FYTD),MAR,MAR,37882,all,all,FMUA,all
2019,2019,FEB,FEB,40740,all,all,FMUA,all
2020,2020,FEB,FEB,7117,all,all,FMUA,all
2021,2021,FEB,FEB,19590,all,all,FMUA,all
2022 (FYTD),2022 (FYTD),FEB,FEB,26723,all,all,FMUA,all
2019,2019,JAN,JAN,28417,all,all,FMUA,all
2020,2020,JAN,JAN,8198,all,all,FMUA,all
2021,2021,JAN,JAN,7296,all,all,FMUA,all
2022 (FYTD),2022 (FYTD),JAN,JAN,32001,all,all,FMUA,all
2019,2019,DEC,DEC,31897,all,all,FMUA,all
2020,2020,DEC,DEC,12053,all,all,FMUA,all
2021,2021,DEC,DEC,4406,all,all,FMUA,all
2022 (FYTD),2022 (FYTD),DEC,DEC,51745,all,all,FMUA,all
2019,2019,NOV,NOV,30153,all,all,FMUA,all
2020,2020,NOV,NOV,13144,all,all,FMUA,all
2021,2021,NOV,NOV,4302,all,all,FMUA,all
2022 (FYTD),2022 (FYTD),NOV,NOV,45064,all,all,FMUA,all
2019,2019,OCT,OCT,27294,all,all,FMUA,all
2020,2020,OCT,OCT,13719,all,all,FMUA,all
2021,2021,OCT,OCT,4747,all,all,FMUA,all
2022 (FYTD),2022 (FYTD),OCT,OCT,42807,all,all,FMUA,all
2019,2019,SEP,SEP,22010,all,all,FMUA,Title 8
2020,2020,SEP,SEP,899,all,all,FMUA,Title 8
2021,2021,SEP,SEP,46789,all,all,FMUA,Title 8
2019,2019,AUG,AUG,30529,all,all,FMUA,Title 8
2020,2020,AUG,AUG,528,all,all,FMUA,Title 8
2021,2021,AUG,AUG,69561,all,all,FMUA,Title 8
2019,2019,JUL,JUL,46791,all,all,FMUA,Title 8
2020,2020,JUL,JUL,487,all,all,FMUA,Title 8
2021,2021,JUL,JUL,73389,all,all,FMUA,Title 8
2019,2019,JUN,JUN,60962,all,all,FMUA,Title 8
2020,2020,JUN,JUN,372,all,all,FMUA,Title 8
2021,2021,JUN,JUN,47868,all,all,FMUA,Title 8
2019,2019,MAY,MAY,88587,all,all,FMUA,Title 8
2020,2020,MAY,MAY,181,all,all,FMUA,Title 8
2021,2021,MAY,MAY,35427,all,all,FMUA,Title 8
2019,2019,APR,APR,62313,all,all,FMUA,Title 8
2020,2020,APR,APR,108,all,all,FMUA,Title 8
2021,2021,APR,APR,32164,all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,47715,all,all,FMUA,Title 8
2019,2019,MAR,MAR,57419,all,all,FMUA,Title 8
2020,2020,MAR,MAR,4138,all,all,FMUA,Title 8
2021,2021,MAR,MAR,32560,all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,30003,all,all,FMUA,Title 8
2019,2019,FEB,FEB,40740,all,all,FMUA,Title 8
2020,2020,FEB,FEB,7117,all,all,FMUA,Title 8
2021,2021,FEB,FEB,10112,all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,18708,all,all,FMUA,Title 8
