Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2022 (FYTD),2022 (FYTD),DEC,DEC,430,Mexico,Office of Field Operations,FMUA,Title 8
2019,2019,NOV,NOV,2378,Mexico,Office of Field Operations,FMUA,Title 8
2020,2020,NOV,NOV,3212,Mexico,Office of Field Operations,FMUA,Title 8
2021,2021,NOV,NOV,60,Mexico,Office of Field Operations,FMUA,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,447,Mexico,Office of Field Operations,FMUA,Title 8
2019,2019,OCT,OCT,1952,Mexico,Office of Field Operations,FMUA,Title 8
2020,2020,OCT,OCT,2937,Mexico,Office of Field Operations,FMUA,Title 8
2021,2021,OCT,OCT,88,Mexico,Office of Field Operations,FMUA,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,160,Mexico,Office of Field Operations,FMUA,Title 8
2019,2019,SEP,SEP,3153,Mexico,Office of Field Operations,Single Adults,all
2020,2020,SEP,SEP,2462,Mexico,Office of Field Operations,Single Adults,all
2021,2021,SEP,SEP,2935,Mexico,Office of Field Operations,Single Adults,all
2019,2019,AUG,AUG,3075,Mexico,Office of Field Operations,Single Adults,all
2020,2020,AUG,AUG,2263,Mexico,Office of Field Operations,Single Adults,all
2021,2021,AUG,AUG,3243,Mexico,Office of Field Operations,Single Adults,all
2019,2019,JUL,JUL,2822,Mexico,Office of Field Operations,Single Adults,all
2020,2020,JUL,JUL,2028,Mexico,Office of Field Operations,Single Adults,all
2021,2021,JUL,JUL,3279,Mexico,Office of Field Operations,Single Adults,all
2019,2019,JUN,JUN,2764,Mexico,Office of Field Operations,Single Adults,all
2020,2020,JUN,JUN,1795,Mexico,Office of Field Operations,Single Adults,all
2021,2021,JUN,JUN,2799,Mexico,Office of Field Operations,Single Adults,all
2019,2019,MAY,MAY,3039,Mexico,Office of Field Operations,Single Adults,all
2020,2020,MAY,MAY,1384,Mexico,Office of Field Operations,Single Adults,all
2021,2021,MAY,MAY,2756,Mexico,Office of Field Operations,Single Adults,all
2019,2019,APR,APR,2997,Mexico,Office of Field Operations,Single Adults,all
2020,2020,APR,APR,785,Mexico,Office of Field Operations,Single Adults,all
2021,2021,APR,APR,2396,Mexico,Office of Field Operations,Single Adults,all
2022 (FYTD),2022 (FYTD),APR,APR,4137,Mexico,Office of Field Operations,Single Adults,all
2019,2019,MAR,MAR,3233,Mexico,Office of Field Operations,Single Adults,all
2020,2020,MAR,MAR,2189,Mexico,Office of Field Operations,Single Adults,all
2021,2021,MAR,MAR,2597,Mexico,Office of Field Operations,Single Adults,all
2022 (FYTD),2022 (FYTD),MAR,MAR,4530,Mexico,Office of Field Operations,Single Adults,all
2019,2019,FEB,FEB,2826,Mexico,Office of Field Operations,Single Adults,all
2020,2020,FEB,FEB,2995,Mexico,Office of Field Operations,Single Adults,all
2021,2021,FEB,FEB,2556,Mexico,Office of Field Operations,Single Adults,all
2022 (FYTD),2022 (FYTD),FEB,FEB,4011,Mexico,Office of Field Operations,Single Adults,all
2019,2019,JAN,JAN,3313,Mexico,Office of Field Operations,Single Adults,all
2020,2020,JAN,JAN,3045,Mexico,Office of Field Operations,Single Adults,all
2021,2021,JAN,JAN,2369,Mexico,Office of Field Operations,Single Adults,all
2022 (FYTD),2022 (FYTD),JAN,JAN,3931,Mexico,Office of Field Operations,Single Adults,all
2019,2019,DEC,DEC,2870,Mexico,Office of Field Operations,Single Adults,all
2020,2020,DEC,DEC,2739,Mexico,Office of Field Operations,Single Adults,all
2021,2021,DEC,DEC,2222,Mexico,Office of Field Operations,Single Adults,all
2022 (FYTD),2022 (FYTD),DEC,DEC,3753,Mexico,Office of Field Operations,Single Adults,all
2019,2019,NOV,NOV,3175,Mexico,Office of Field Operations,Single Adults,all
2020,2020,NOV,NOV,2951,Mexico,Office of Field Operations,Single Adults,all
2021,2021,NOV,NOV,2396,Mexico,Office of Field Operations,Single Adults,all
2022 (FYTD),2022 (FYTD),NOV,NOV,3823,Mexico,Office of Field Operations,Single Adults,all
2019,2019,OCT,OCT,3430,Mexico,Office of Field Operations,Single Adults,all
2020,2020,OCT,OCT,3083,Mexico,Office of Field Operations,Single Adults,all
2021,2021,OCT,OCT,2365,Mexico,Office of Field Operations,Single Adults,all
2022 (FYTD),2022 (FYTD),OCT,OCT,2700,Mexico,Office of Field Operations,Single Adults,all
2019,2019,SEP,SEP,3153,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,SEP,SEP,935,Mexico,Office of Field Operations,Single Adults,Title 8
2021,2021,SEP,SEP,1076,Mexico,Office of Field Operations,Single Adults,Title 8
2019,2019,AUG,AUG,3075,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,AUG,AUG,807,Mexico,Office of Field Operations,Single Adults,Title 8
2021,2021,AUG,AUG,1343,Mexico,Office of Field Operations,Single Adults,Title 8
2019,2019,JUL,JUL,2822,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,JUL,JUL,741,Mexico,Office of Field Operations,Single Adults,Title 8
2021,2021,JUL,JUL,1694,Mexico,Office of Field Operations,Single Adults,Title 8
2019,2019,JUN,JUN,2764,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,JUN,JUN,657,Mexico,Office of Field Operations,Single Adults,Title 8
2021,2021,JUN,JUN,1200,Mexico,Office of Field Operations,Single Adults,Title 8
2019,2019,MAY,MAY,3039,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,MAY,MAY,631,Mexico,Office of Field Operations,Single Adults,Title 8
2021,2021,MAY,MAY,1135,Mexico,Office of Field Operations,Single Adults,Title 8
2019,2019,APR,APR,2997,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,APR,APR,343,Mexico,Office of Field Operations,Single Adults,Title 8
2021,2021,APR,APR,936,Mexico,Office of Field Operations,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,2272,Mexico,Office of Field Operations,Single Adults,Title 8
2019,2019,MAR,MAR,3233,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,MAR,MAR,2128,Mexico,Office of Field Operations,Single Adults,Title 8
2021,2021,MAR,MAR,867,Mexico,Office of Field Operations,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,2472,Mexico,Office of Field Operations,Single Adults,Title 8
2019,2019,FEB,FEB,2826,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,FEB,FEB,2995,Mexico,Office of Field Operations,Single Adults,Title 8
2021,2021,FEB,FEB,859,Mexico,Office of Field Operations,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,2018,Mexico,Office of Field Operations,Single Adults,Title 8
2019,2019,JAN,JAN,3313,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,JAN,JAN,3045,Mexico,Office of Field Operations,Single Adults,Title 8
2021,2021,JAN,JAN,835,Mexico,Office of Field Operations,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,2012,Mexico,Office of Field Operations,Single Adults,Title 8
2019,2019,DEC,DEC,2870,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,DEC,DEC,2739,Mexico,Office of Field Operations,Single Adults,Title 8
2021,2021,DEC,DEC,717,Mexico,Office of Field Operations,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,1812,Mexico,Office of Field Operations,Single Adults,Title 8
2019,2019,NOV,NOV,3175,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,NOV,NOV,2951,Mexico,Office of Field Operations,Single Adults,Title 8
2021,2021,NOV,NOV,709,Mexico,Office of Field Operations,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,1830,Mexico,Office of Field Operations,Single Adults,Title 8
2019,2019,OCT,OCT,3430,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,OCT,OCT,3083,Mexico,Office of Field Operations,Single Adults,Title 8
2021,2021,OCT,OCT,733,Mexico,Office of Field Operations,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,1069,Mexico,Office of Field Operations,Single Adults,Title 8
2020,2020,SEP,SEP,1527,Mexico,Office of Field Operations,Single Adults,Title 42
2021,2021,SEP,SEP,1859,Mexico,Office of Field Operations,Single Adults,Title 42
2020,2020,AUG,AUG,1456,Mexico,Office of Field Operations,Single Adults,Title 42
2021,2021,AUG,AUG,1900,Mexico,Office of Field Operations,Single Adults,Title 42
2020,2020,JUL,JUL,1287,Mexico,Office of Field Operations,Single Adults,Title 42
2021,2021,JUL,JUL,1585,Mexico,Office of Field Operations,Single Adults,Title 42
2020,2020,JUN,JUN,1138,Mexico,Office of Field Operations,Single Adults,Title 42
2021,2021,JUN,JUN,1599,Mexico,Office of Field Operations,Single Adults,Title 42
2020,2020,MAY,MAY,753,Mexico,Office of Field Operations,Single Adults,Title 42
2021,2021,MAY,MAY,1621,Mexico,Office of Field Operations,Single Adults,Title 42
2020,2020,APR,APR,442,Mexico,Office of Field Operations,Single Adults,Title 42
2021,2021,APR,APR,1460,Mexico,Office of Field Operations,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,1865,Mexico,Office of Field Operations,Single Adults,Title 42
2020,2020,MAR,MAR,61,Mexico,Office of Field Operations,Single Adults,Title 42
2021,2021,MAR,MAR,1730,Mexico,Office of Field Operations,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,2058,Mexico,Office of Field Operations,Single Adults,Title 42
2021,2021,FEB,FEB,1697,Mexico,Office of Field Operations,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,1993,Mexico,Office of Field Operations,Single Adults,Title 42
2021,2021,JAN,JAN,1534,Mexico,Office of Field Operations,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,1919,Mexico,Office of Field Operations,Single Adults,Title 42
2021,2021,DEC,DEC,1505,Mexico,Office of Field Operations,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,1941,Mexico,Office of Field Operations,Single Adults,Title 42
2021,2021,NOV,NOV,1687,Mexico,Office of Field Operations,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,1993,Mexico,Office of Field Operations,Single Adults,Title 42
2021,2021,OCT,OCT,1632,Mexico,Office of Field Operations,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,1631,Mexico,Office of Field Operations,Single Adults,Title 42
2019,2019,SEP,SEP,330,Mexico,Office of Field Operations,UC / Single Minors,all
2020,2020,SEP,SEP,103,Mexico,Office of Field Operations,UC / Single Minors,all
2021,2021,SEP,SEP,122,Mexico,Office of Field Operations,UC / Single Minors,all
2019,2019,AUG,AUG,333,Mexico,Office of Field Operations,UC / Single Minors,all
2020,2020,AUG,AUG,93,Mexico,Office of Field Operations,UC / Single Minors,all
2021,2021,AUG,AUG,238,Mexico,Office of Field Operations,UC / Single Minors,all
2019,2019,JUL,JUL,227,Mexico,Office of Field Operations,UC / Single Minors,all
2020,2020,JUL,JUL,71,Mexico,Office of Field Operations,UC / Single Minors,all
2021,2021,JUL,JUL,224,Mexico,Office of Field Operations,UC / Single Minors,all
2019,2019,JUN,JUN,232,Mexico,Office of Field Operations,UC / Single Minors,all
2020,2020,JUN,JUN,77,Mexico,Office of Field Operations,UC / Single Minors,all
2021,2021,JUN,JUN,168,Mexico,Office of Field Operations,UC / Single Minors,all
2019,2019,MAY,MAY,278,Mexico,Office of Field Operations,UC / Single Minors,all
2020,2020,MAY,MAY,40,Mexico,Office of Field Operations,UC / Single Minors,all
2021,2021,MAY,MAY,115,Mexico,Office of Field Operations,UC / Single Minors,all
2019,2019,APR,APR,233,Mexico,Office of Field Operations,UC / Single Minors,all
2020,2020,APR,APR,26,Mexico,Office of Field Operations,UC / Single Minors,all
2021,2021,APR,APR,99,Mexico,Office of Field Operations,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),APR,APR,149,Mexico,Office of Field Operations,UC / Single Minors,all
2019,2019,MAR,MAR,249,Mexico,Office of Field Operations,UC / Single Minors,all
2020,2020,MAR,MAR,189,Mexico,Office of Field Operations,UC / Single Minors,all
2021,2021,MAR,MAR,102,Mexico,Office of Field Operations,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),MAR,MAR,172,Mexico,Office of Field Operations,UC / Single Minors,all
2019,2019,FEB,FEB,236,Mexico,Office of Field Operations,UC / Single Minors,all
2020,2020,FEB,FEB,293,Mexico,Office of Field Operations,UC / Single Minors,all
2021,2021,FEB,FEB,97,Mexico,Office of Field Operations,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),FEB,FEB,128,Mexico,Office of Field Operations,UC / Single Minors,all
2019,2019,JAN,JAN,213,Mexico,Office of Field Operations,UC / Single Minors,all
2020,2020,JAN,JAN,272,Mexico,Office of Field Operations,UC / Single Minors,all
2021,2021,JAN,JAN,107,Mexico,Office of Field Operations,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),JAN,JAN,107,Mexico,Office of Field Operations,UC / Single Minors,all
2019,2019,DEC,DEC,192,Mexico,Office of Field Operations,UC / Single Minors,all
2020,2020,DEC,DEC,283,Mexico,Office of Field Operations,UC / Single Minors,all
2021,2021,DEC,DEC,93,Mexico,Office of Field Operations,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),DEC,DEC,112,Mexico,Office of Field Operations,UC / Single Minors,all
2019,2019,NOV,NOV,215,Mexico,Office of Field Operations,UC / Single Minors,all
2020,2020,NOV,NOV,232,Mexico,Office of Field Operations,UC / Single Minors,all
2021,2021,NOV,NOV,97,Mexico,Office of Field Operations,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),NOV,NOV,143,Mexico,Office of Field Operations,UC / Single Minors,all
2019,2019,OCT,OCT,214,Mexico,Office of Field Operations,UC / Single Minors,all
2020,2020,OCT,OCT,254,Mexico,Office of Field Operations,UC / Single Minors,all
2021,2021,OCT,OCT,106,Mexico,Office of Field Operations,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),OCT,OCT,113,Mexico,Office of Field Operations,UC / Single Minors,all
2019,2019,SEP,SEP,330,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,SEP,SEP,55,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,SEP,SEP,122,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,AUG,AUG,333,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,AUG,AUG,39,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,AUG,AUG,238,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,JUL,JUL,227,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,JUL,JUL,40,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,JUL,JUL,224,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,JUN,JUN,232,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,JUN,JUN,50,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,JUN,JUN,168,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,MAY,MAY,278,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,MAY,MAY,25,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,MAY,MAY,115,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,APR,APR,233,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,APR,APR,10,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,APR,APR,99,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,149,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,MAR,MAR,249,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,MAR,MAR,187,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,MAR,MAR,102,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,172,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,FEB,FEB,236,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,FEB,FEB,293,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,FEB,FEB,96,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,128,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,JAN,JAN,213,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,JAN,JAN,272,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,JAN,JAN,107,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,107,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,DEC,DEC,192,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,DEC,DEC,283,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,DEC,DEC,91,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,112,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,NOV,NOV,215,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,NOV,NOV,232,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,NOV,NOV,62,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,143,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2019,2019,OCT,OCT,214,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,OCT,OCT,254,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2021,2021,OCT,OCT,60,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,113,Mexico,Office of Field Operations,UC / Single Minors,Title 8
2020,2020,SEP,SEP,48,Mexico,Office of Field Operations,UC / Single Minors,Title 42
2020,2020,AUG,AUG,54,Mexico,Office of Field Operations,UC / Single Minors,Title 42
2020,2020,JUL,JUL,31,Mexico,Office of Field Operations,UC / Single Minors,Title 42
2020,2020,JUN,JUN,27,Mexico,Office of Field Operations,UC / Single Minors,Title 42
2020,2020,MAY,MAY,15,Mexico,Office of Field Operations,UC / Single Minors,Title 42
2020,2020,APR,APR,16,Mexico,Office of Field Operations,UC / Single Minors,Title 42
2020,2020,MAR,MAR,2,Mexico,Office of Field Operations,UC / Single Minors,Title 42
2021,2021,FEB,FEB,1,Mexico,Office of Field Operations,UC / Single Minors,Title 42
2021,2021,DEC,DEC,2,Mexico,Office of Field Operations,UC / Single Minors,Title 42
2021,2021,NOV,NOV,35,Mexico,Office of Field Operations,UC / Single Minors,Title 42
2021,2021,OCT,OCT,46,Mexico,Office of Field Operations,UC / Single Minors,Title 42
2019,2019,SEP,SEP,15959,Mexico,U.S. Border Patrol,all,all
2020,2020,SEP,SEP,36424,Mexico,U.S. Border Patrol,all,all
2021,2021,SEP,SEP,56166,Mexico,U.S. Border Patrol,all,all
2019,2019,AUG,AUG,13642,Mexico,U.S. Border Patrol,all,all
2020,2020,AUG,AUG,34411,Mexico,U.S. Border Patrol,all,all
2021,2021,AUG,AUG,49609,Mexico,U.S. Border Patrol,all,all
2019,2019,JUL,JUL,12683,Mexico,U.S. Border Patrol,all,all
2020,2020,JUL,JUL,29931,Mexico,U.S. Border Patrol,all,all
2021,2021,JUL,JUL,52995,Mexico,U.S. Border Patrol,all,all
2019,2019,JUN,JUN,15703,Mexico,U.S. Border Patrol,all,all
2020,2020,JUN,JUN,25502,Mexico,U.S. Border Patrol,all,all
2021,2021,JUN,JUN,59469,Mexico,U.S. Border Patrol,all,all
2019,2019,MAY,MAY,17531,Mexico,U.S. Border Patrol,all,all
2020,2020,MAY,MAY,17488,Mexico,U.S. Border Patrol,all,all
2021,2021,MAY,MAY,66237,Mexico,U.S. Border Patrol,all,all
2019,2019,APR,APR,16481,Mexico,U.S. Border Patrol,all,all
2020,2020,APR,APR,11151,Mexico,U.S. Border Patrol,all,all
2021,2021,APR,APR,62170,Mexico,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),APR,APR,76063,Mexico,U.S. Border Patrol,all,all
2019,2019,MAR,MAR,16749,Mexico,U.S. Border Patrol,all,all
2020,2020,MAR,MAR,18082,Mexico,U.S. Border Patrol,all,all
2021,2021,MAR,MAR,59347,Mexico,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),MAR,MAR,82510,Mexico,U.S. Border Patrol,all,all
2019,2019,FEB,FEB,12878,Mexico,U.S. Border Patrol,all,all
2020,2020,FEB,FEB,16726,Mexico,U.S. Border Patrol,all,all
2021,2021,FEB,FEB,41344,Mexico,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),FEB,FEB,67077,Mexico,U.S. Border Patrol,all,all
2019,2019,JAN,JAN,11109,Mexico,U.S. Border Patrol,all,all
2020,2020,JAN,JAN,16118,Mexico,U.S. Border Patrol,all,all
2021,2021,JAN,JAN,38122,Mexico,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),JAN,JAN,55640,Mexico,U.S. Border Patrol,all,all
2019,2019,DEC,DEC,8706,Mexico,U.S. Border Patrol,all,all
2020,2020,DEC,DEC,14565,Mexico,U.S. Border Patrol,all,all
2021,2021,DEC,DEC,36900,Mexico,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),DEC,DEC,46901,Mexico,U.S. Border Patrol,all,all
2019,2019,NOV,NOV,11149,Mexico,U.S. Border Patrol,all,all
2020,2020,NOV,NOV,15810,Mexico,U.S. Border Patrol,all,all
2021,2021,NOV,NOV,41541,Mexico,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),NOV,NOV,59152,Mexico,U.S. Border Patrol,all,all
2019,2019,OCT,OCT,13868,Mexico,U.S. Border Patrol,all,all
2020,2020,OCT,OCT,16910,Mexico,U.S. Border Patrol,all,all
2021,2021,OCT,OCT,44137,Mexico,U.S. Border Patrol,all,all
2022 (FYTD),2022 (FYTD),OCT,OCT,62901,Mexico,U.S. Border Patrol,all,all
2019,2019,SEP,SEP,15959,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,SEP,SEP,2438,Mexico,U.S. Border Patrol,all,Title 8
2021,2021,SEP,SEP,4076,Mexico,U.S. Border Patrol,all,Title 8
2019,2019,AUG,AUG,13642,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,AUG,AUG,2086,Mexico,U.S. Border Patrol,all,Title 8
2021,2021,AUG,AUG,3869,Mexico,U.S. Border Patrol,all,Title 8
2019,2019,JUL,JUL,12683,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,JUL,JUL,1614,Mexico,U.S. Border Patrol,all,Title 8
2021,2021,JUL,JUL,3836,Mexico,U.S. Border Patrol,all,Title 8
2019,2019,JUN,JUN,15703,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,JUN,JUN,1322,Mexico,U.S. Border Patrol,all,Title 8
2021,2021,JUN,JUN,4472,Mexico,U.S. Border Patrol,all,Title 8
2019,2019,MAY,MAY,17531,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,MAY,MAY,831,Mexico,U.S. Border Patrol,all,Title 8
2021,2021,MAY,MAY,4828,Mexico,U.S. Border Patrol,all,Title 8
2019,2019,APR,APR,16481,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,APR,APR,441,Mexico,U.S. Border Patrol,all,Title 8
2021,2021,APR,APR,4504,Mexico,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,8552,Mexico,U.S. Border Patrol,all,Title 8
2019,2019,MAR,MAR,16749,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,MAR,MAR,13476,Mexico,U.S. Border Patrol,all,Title 8
2021,2021,MAR,MAR,4500,Mexico,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,7419,Mexico,U.S. Border Patrol,all,Title 8
2019,2019,FEB,FEB,12878,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,FEB,FEB,16726,Mexico,U.S. Border Patrol,all,Title 8
2021,2021,FEB,FEB,3460,Mexico,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,5190,Mexico,U.S. Border Patrol,all,Title 8
2019,2019,JAN,JAN,11109,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,JAN,JAN,16118,Mexico,U.S. Border Patrol,all,Title 8
2021,2021,JAN,JAN,3892,Mexico,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,4165,Mexico,U.S. Border Patrol,all,Title 8
2019,2019,DEC,DEC,8706,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,DEC,DEC,14565,Mexico,U.S. Border Patrol,all,Title 8
2021,2021,DEC,DEC,3848,Mexico,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,3723,Mexico,U.S. Border Patrol,all,Title 8
2019,2019,NOV,NOV,11149,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,NOV,NOV,15810,Mexico,U.S. Border Patrol,all,Title 8
2021,2021,NOV,NOV,3124,Mexico,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,4179,Mexico,U.S. Border Patrol,all,Title 8
2019,2019,OCT,OCT,13868,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,OCT,OCT,16910,Mexico,U.S. Border Patrol,all,Title 8
2021,2021,OCT,OCT,2299,Mexico,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,4437,Mexico,U.S. Border Patrol,all,Title 8
2020,2020,SEP,SEP,33986,Mexico,U.S. Border Patrol,all,Title 42
2021,2021,SEP,SEP,52090,Mexico,U.S. Border Patrol,all,Title 42
2020,2020,AUG,AUG,32325,Mexico,U.S. Border Patrol,all,Title 42
2021,2021,AUG,AUG,45740,Mexico,U.S. Border Patrol,all,Title 42
2020,2020,JUL,JUL,28317,Mexico,U.S. Border Patrol,all,Title 42
2021,2021,JUL,JUL,49159,Mexico,U.S. Border Patrol,all,Title 42
2020,2020,JUN,JUN,24180,Mexico,U.S. Border Patrol,all,Title 42
2021,2021,JUN,JUN,54997,Mexico,U.S. Border Patrol,all,Title 42
2020,2020,MAY,MAY,16657,Mexico,U.S. Border Patrol,all,Title 42
2021,2021,MAY,MAY,61409,Mexico,U.S. Border Patrol,all,Title 42
2020,2020,APR,APR,10710,Mexico,U.S. Border Patrol,all,Title 42
2021,2021,APR,APR,57666,Mexico,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,67511,Mexico,U.S. Border Patrol,all,Title 42
2020,2020,MAR,MAR,4606,Mexico,U.S. Border Patrol,all,Title 42
2021,2021,MAR,MAR,54847,Mexico,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,75091,Mexico,U.S. Border Patrol,all,Title 42
2021,2021,FEB,FEB,37884,Mexico,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,61887,Mexico,U.S. Border Patrol,all,Title 42
2021,2021,JAN,JAN,34230,Mexico,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,51475,Mexico,U.S. Border Patrol,all,Title 42
2021,2021,DEC,DEC,33052,Mexico,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,43178,Mexico,U.S. Border Patrol,all,Title 42
2021,2021,NOV,NOV,38417,Mexico,U.S. Border Patrol,all,Title 42
